68	2023-09-05T17:18:35.172Z	-0.0023851971889938817	2.784062218420808	1237
69	2023-09-05T17:18:36.408Z	2.779096469194938	-0.006357796569689711	1236
70	2023-09-05T17:18:37.643Z	-0.0023851971889938817	2.783731168472417	1235
71	2023-09-05T17:18:38.877Z	2.7771101695045903	-0.008013046311646344	1234
72	2023-09-05T17:18:40.114Z	-0.0017230972922113175	2.7824069686788517	1237
73	2023-09-05T17:18:41.349Z	2.7787654192465467	-0.008013046311646344	1235
74	2023-09-05T17:18:42.586Z	-0.003047297085776446	2.7824069686788517	1237
75	2023-09-05T17:18:43.822Z	2.7797585690917206	-0.00867514620842913	1236
76	2023-09-05T17:18:45.058Z	-0.0010609973954285312	2.7847243183175907	1236
77	2023-09-05T17:18:46.292Z	2.7774412194529816	-0.007681996363255061	1234
