68	2023-09-05T20:29:47.765Z	2.7741307199690683	-0.006688846518081215	1177
69	2023-09-05T20:29:48.942Z	-0.0007299474470372491	2.779096469194938	1177
70	2023-09-05T20:29:50.120Z	2.7734686200722853	-0.006688846518081215	1178
71	2023-09-05T20:29:51.297Z	-0.003047297085776446	2.780089619040112	1177
72	2023-09-05T20:29:52.472Z	2.7734686200722853	-0.005364646724515865	1175
73	2023-09-05T20:29:53.648Z	-0.003047297085776446	2.7771101695045903	1176
74	2023-09-05T20:29:54.824Z	2.775123869814242	-0.007019896466472497	1176
75	2023-09-05T20:29:56.000Z	-0.003047297085776446	2.780089619040112	1176
76	2023-09-05T20:29:57.176Z	2.773799670020677	-0.007350946414863779	1176
77	2023-09-05T20:29:58.353Z	-0.0013920473438198133	2.7787654192465467	1177
